name,bodies.name,bodies.subType,bodies.spectralClass
Achenar,Achenar,B (Blue-White) Star,B6
32 Mu Serpentis,32 Mu Serpentis,B (Blue-White) Star,B9
HIP 18077,HIP 18077,B (Blue-White) Star,B9
Canopus,Canopus,A (Blue-White super giant) Star,A9
Sigma Andromedae,Sigma Andromedae A,A (Blue-White) Star,A2
50 Cassiopeiae,50 Cassiopeiae A,A (Blue-White) Star,A1
44 Pi Serpentis,44 Pi Serpentis,A (Blue-White) Star,A2
HR 9095,HR 9095 A,F (White) Star,F6
Kappa Phoenicis,Kappa Phoenicis A,A (Blue-White) Star,A5
GD 279,GD 279,A (Blue-White) Star,A3
HR 5128,HR 5128 A,F (White) Star,F3
133 G. Canis Major,133 G. Canis Major A,A (Blue-White) Star,A8
2MASS J03291977+3124572,Mel 22 Sector TJ-Y b1-0,M (Red dwarf) Star,M0
2MASS J03291977+3124572,2MASS J03291977+3124572 A,B (Blue-White) Star,B8
HR 1185,HR 1185 A,B (Blue-White) Star,B9
Beta Sculptoris,Beta Sculptoris A,B (Blue-White) Star,B9
BD+08 1303,BD+08 1303 A,B (Blue-White) Star,B9
Beta-1 Tucanae,Beta-1 Tucanae,B (Blue-White) Star,B9
HIP 83506,HIP 83506 A,B (Blue-White) Star,B3
Nat9481,Nat9481,B (Blue-White) Star,B9
Gienah,Gienah A,B (Blue-White) Star,B7
Kappa-1 Coronae Austrinae,Kappa-1 Coronae Austrinae,B (Blue-White) Star,B8
New Yembo,New Yembo,B (Blue-White) Star,B9
HR 7169,HR 7169 A,B (Blue-White) Star,B9
Kappa Andromedae,Kappa Andromedae,B (Blue-White) Star,B9
Peacock,Peacock,B (Blue-White) Star,B3
Mammon,Mammon,B (Blue-White) Star,B2
Pi Pavonis,Pi Pavonis,A (Blue-White) Star,A7
C Hydrae,C Hydrae,A (Blue-White) Star,A1
HR 755,HR 755 A,F (White) Star,F6
Taygeta,Taygeta,B (Blue-White) Star,B6
Maia,Maia A,B (Blue-White) Star,B6
HR 816,HR 816 A,A (Blue-White) Star,A9
62 Omicron-1 Cancri,62 Omicron-1 Cancri,A (Blue-White) Star,A6
HIP 8593,HIP 8593,A (Blue-White) Star,A1
Epsilon Hydri,Epsilon Hydri,B (Blue-White) Star,B9
GM Cephei,GM Cephei,F (White) Star,F9
HIP 102815,HIP 102815 A,G (White-Yellow) Star,G0
Gliese 3002,Gliese 3002,G (White-Yellow) Star,G2
32 c Piscium,32 c Piscium,F (White) Star,F1
HIP 96834,HIP 96834,F (White) Star,F7
Dieslic,Dieslic A,G (White-Yellow) Star,G0
Moortic,Moortic A,G (White-Yellow) Star,G5
HIP 87678,HIP 87678,F (White) Star,F7
HIP 76911,HIP 76911 A,G (White-Yellow) Star,G2
HIP 81223,HIP 81223,G (White-Yellow) Star,G2
HIP 3311,HIP 3311,G (White-Yellow) Star,G5
HIP 296,HIP 296,G (White-Yellow) Star,G8
HIP 104071,HIP 104071 A,G (White-Yellow) Star,G0
Gliese 113.1,Gliese 113.1,G (White-Yellow) Star,G2
Munfayl,Munfayl,G (White-Yellow) Star,G1
HR 6948,HR 6948,F (White) Star,F5
Akhenaten,Akhenaten,G (White-Yellow) Star,G6
Sol,Sol,G (White-Yellow) Star,G2
HIP 32135,HIP 32135,F (White) Star,F5
HIP 34024,HIP 34024,F (White) Star,F8
HIP 60551,HIP 60551 A,G (White-Yellow) Star,G0
HIP 59735,HIP 59735,F (White) Star,F8
HIP 67470,HIP 67470,F (White) Star,F8
HIP 7823,HIP 7823 A,G (White-Yellow) Star,G0
HIP 726,HIP 726 A,G (White-Yellow) Star,G0
Ys,Ys,G (White-Yellow) Star,G5
HIP 95321,HIP 95321 A,G (White-Yellow) Star,G2
Gliese 3244,Gliese 3244,G (White-Yellow) Star,G9
Iota-2 Fornacis,Iota-2 Fornacis,F (White) Star,F6
LHS 1071,LHS 1071,G (White-Yellow) Star,G0
CD-70 1960,CD-70 1960,G (White-Yellow) Star,G5
HIP 83983,HIP 83983,G (White-Yellow) Star,G3
BD+12 810,BD+12 810,G (White-Yellow) Star,G5
58 Eridani,58 Eridani A,G (White-Yellow) Star,G1
Beta Hydri,Beta Hydri,G (White-Yellow) Star,G0
Quator,Quator,G (White-Yellow) Star,G7
HIP 73650,HIP 73650,G (White-Yellow) Star,G3
HIP 41573,HIP 41573,F (White) Star,F6
LTT 3799,LTT 3799,G (White-Yellow) Star,G2
HIP 62921,HIP 62921 A,G (White-Yellow) Star,G5
80 Leonis,80 Leonis,F (White) Star,F2
HIP 11144,HIP 11144,G (White-Yellow) Star,G0
HIP 6949,HIP 6949,G (White-Yellow) Star,G8
HIP 293,HIP 293,F (White) Star,F6
HIP 7040,HIP 7040,G (White-Yellow) Star,G0
HIP 22006,HIP 22006,F (White) Star,F6
Wakea,Wakea,G (White-Yellow) Star,G8
CD-51 2650,CD-51 2650,F (White) Star,F9
HIP 15614,HIP 15614 A,A (Blue-White) Star,A5
HIP 5549,HIP 5549 A,G (White-Yellow) Star,G0
Epsilon Andromedae,Epsilon Andromedae,G (White-Yellow) Star,G7
Gliese 3876,Gliese 3876,F (White) Star,F9
Rho Tucanae,Rho Tucanae,F (White) Star,F7
63 Omicron-2 Cancri,63 Omicron-2 Cancri A,A (Blue-White) Star,A7
16 Librae,16 Librae,F (White) Star,F2
HR 1621,HR 1621,B (Blue-White) Star,B9
Nu Horologii,Nu Horologii,A (Blue-White) Star,A2
HR 5960,HR 5960,F (White) Star,F0
HR 6301,HR 6301 A,K (Yellow-Orange) Star,K0
Sigma Sculptoris,Sigma Sculptoris,A (Blue-White) Star,A2
30 Ceti,30 Ceti,F (White) Star,F5
18 e Ursae Majoris,18 e Ursae Majoris A,A (Blue-White) Star,A6
HIP 10570,HIP 10570 A,F (White) Star,F3
HR 1645,HR 1645,A (Blue-White) Star,A2
HR 1014,HR 1014,A (Blue-White) Star,A3
79 Psi-2 Piscium,79 Psi-2 Piscium A,A (Blue-White) Star,A3
HR 6351,HR 6351,A (Blue-White) Star,A5
DK Ursae Majoris,DK Ursae Majoris,G (White-Yellow) Star,G9
Chertan,Chertan,A (Blue-White) Star,A2
HIP 11160,HIP 11160,F (White) Star,F5
HIP 7298,HIP 7298,A (Blue-White) Star,A9
HR 1075,HR 1075 A,A (Blue-White) Star,A5
HIP 23759,HIP 23759,A (Blue-White) Star,A0
California Sector BA-A e6,California Sector BA-A e6,M (Red dwarf) Star,M2
HR 6421,HR 6421,A (Blue-White) Star,A7
HR 638,HR 638,F (White) Star,F3
Beta Circini,Beta Circini,A (Blue-White) Star,A3
Carthage,Carthage,B (Blue-White) Star,B5
HIP 46407,HIP 46407,F (White) Star,F3
HR 8210,HR 8210 A,A (Blue-White) Star,A8
15 f Leonis,15 f Leonis,A (Blue-White) Star,A2
58 Ursae Majoris,58 Ursae Majoris,F (White) Star,F5
Kappa Doradus,Kappa Doradus A,A (Blue-White) Star,A5
HIP 18390,HIP 18390 A,B (Blue-White) Star,B7
24 Canum Venaticorum,24 Canum Venaticorum,A (Blue-White) Star,A4
HIP 17519,HIP 17519 A,F (White) Star,F6
22 g Leonis,22 g Leonis,A (Blue-White) Star,A5
59 Ursae Majoris,59 Ursae Majoris,F (White) Star,F2
HIP 22192,HIP 22192 A,A (Blue-White) Star,A3
HR 6489,HR 6489,F (White) Star,F5
Rho Telescopii,Rho Telescopii,F (White) Star,F6
21 Leonis Minoris,21 Leonis Minoris,A (Blue-White) Star,A7
Beta Horologii,Beta Horologii,A (Blue-White) Star,A6
10 Iota Cygni,10 Iota Cygni A,A (Blue-White) Star,A4
HR 6507,HR 6507,A (Blue-White) Star,A8
Eta Horologii,Eta Horologii A,A (Blue-White) Star,A7
44 Eta Librae,44 Eta Librae A,A (Blue-White) Star,A9
3 Corvi,3 Corvi,A (Blue-White) Star,A2
HIP 99210,HIP 99210 A,G (White-Yellow) Star,G2
LTT 9846,LTT 9846,G (White-Yellow) Star,G3
HIP 16753,HIP 16753,F (White) Star,F5
Breamen,Breamen,G (White-Yellow) Star,G5
HIP 104560,HIP 104560,G (White-Yellow) Star,G1
HIP 7705,HIP 7705,G (White-Yellow) Star,G8
HIP 2453,HIP 2453 A,F (White) Star,F8
HR 6669,HR 6669 A,F (White) Star,F8
HR 6541,HR 6541 A,F (White) Star,F4
HIP 70253,HIP 70253 A,G (White-Yellow) Star,G0
HIP 277,HIP 277,F (White) Star,F0
HIP 4747,HIP 4747,G (White-Yellow) Star,G0
G 267-24,G 267-24,G (White-Yellow) Star,G0
HR 916,HR 916,A (Blue-White) Star,A9
LTT 10410,LTT 10410,G (White-Yellow) Star,G5
6 Ceti,6 Ceti,F (White) Star,F8
CD-34 13042,CD-34 13042,G (White-Yellow) Star,G8
HIP 20094,HIP 20094 A,G (White-Yellow) Star,G5
Terra Mater,Terra Mater,G (White-Yellow) Star,G5
Zeta Tucanae,Zeta Tucanae,F (White) Star,F9
HIP 81010,HIP 81010 A,F (White) Star,F8
HIP 36129,HIP 36129,G (White-Yellow) Star,G5
HIP 72043,HIP 72043,G (White-Yellow) Star,G5
HIP 76635,HIP 76635,G (White-Yellow) Star,G3
HR 4680,HR 4680,A (Blue-White) Star,A9
HIP 11125,HIP 11125 A,G (White-Yellow) Star,G1
Shinigami,Shinigami,G (White-Yellow) Star,G0
LTT 305,LTT 305,F (White) Star,F6
CD-86 84,CD-86 84,G (White-Yellow) Star,G7
