name,allegiance,government,primaryEconomy,secondaryEconomy,security,population,controllingFaction.name
Achenar,Empire,Patronage,Refinery,Service,High,16380054761,Achenar Empire League
32 Mu Serpentis,Independent,Patronage,High Tech,Refinery,Medium,5808756,LGC - Cartographers's Guild
HIP 18077,Alliance,Dictatorship,High Tech,None,Medium,10000,Turner Research Group
Canopus,Federation,Corporate,Extraction,Colony,Low,5254,Exphiay Blue Transport Corp
Sigma Andromedae,Independent,Feudal,Military,Extraction,Low,265363,Monarchy of Sigma Andromedae
50 Cassiopeiae,Independent,Feudal,Military,Colony,Medium,120941,Marquis du Ma'a
44 Pi Serpentis,Independent,Anarchy,Military,Colony,Anarchy,532424,The Stellar Remnants
HR 9095,Independent,Communism,Industrial,Extraction,Medium,28041383,Anatolian Space Armada
Kappa Phoenicis,Independent,Democracy,Industrial,Extraction,Medium,6193579,Paladin Consortium
GD 279,Independent,Democracy,Industrial,Extraction,High,21715161,C.O.N.T.R.A.I.L
HR 5128,Independent,Corporate,Terraforming,Agriculture,Medium,146818,HR 5128 Inc
133 G. Canis Major,Independent,Corporate,Extraction,Refinery,Low,143833,133 G. Canis Major Allied Partners
2MASS J03291977+3124572,Independent,Corporate,Extraction,None,Medium,10000,Deep Space Mining
HR 1185,Independent,Patronage,Extraction,Industrial,Medium,82294,Anti Xeno Initiative
Beta Sculptoris,Independent,Cooperative,High Tech,Extraction,Medium,14182335,The Winged Hussars
BD+08 1303,Independent,Democracy,Industrial,Refinery,High,20853922,Flotta Stellare
Beta-1 Tucanae,Empire,Feudal,High Tech,Extraction,Medium,26734923,Prismatic Knights
HIP 83506,Independent,Dictatorship,Military,Agriculture,Medium,17863,31st Research Battalion
Nat9481,Independent,Democracy,Extraction,Agriculture,High,380269,Galileo Corporation
Gienah,Federation,Democracy,Industrial,Extraction,High,7845396,Dark Enterprise
Kappa-1 Coronae Austrinae,Empire,Patronage,Military,Colony,Low,696116,The Dark Armada
New Yembo,Federation,Democracy,Extraction,Refinery,Low,528006,Values Party of Yembo
HR 7169,Independent,Communism,Terraforming,Extraction,Low,775273522,United Fintamkina Left Party
Kappa Andromedae,Independent,Communism,Colony,Terraforming,Medium,156331,Guardians of Harmony
Peacock,Independent,Communism,Military,Agriculture,Medium,157553,Left Party of HIP 96160
Mammon,Independent,Dictatorship,Military,None,Medium,10000,Mammon Task Group
Pi Pavonis,Independent,Communism,Industrial,Extraction,High,21266158,Pi Pavonis Citizen Party
C Hydrae,Federation,Corporate,Industrial,Refinery,High,16227243,Federal Liberal Command
HR 755,Independent,Cooperative,Industrial,Extraction,High,20829149,The Order of Mobius
Taygeta,Independent,Cooperative,Extraction,Agriculture,Medium,1212636,The Hive
Maia,Independent,Cooperative,Industrial,Extraction,Medium,139152,Operation Ida
HR 816,Independent,Cooperative,Refinery,Extraction,Low,83144,Cooper Industries
62 Omicron-1 Cancri,Federation,Corporate,Military,Extraction,Low,52790,Trans Stellar Liberation Front
HIP 8593,Empire,Corporate,Terraforming,Agriculture,Medium,262556,Orion Solutions
Epsilon Hydri,Independent,Cooperative,Colony,Industrial,Medium,88600,The Order of Mobius
GM Cephei,Independent,Democracy,Extraction,Agriculture,Low,29114,The Liberty Party
HIP 102815,Independent,Corporate,Colony,Extraction,Low,207080,Phobyn Corporation
Gliese 3002,Independent,Democracy,Tourism,Agriculture,Medium,1287837285,Gliese 3002 Future
32 c Piscium,Federation,Democracy,Industrial,Extraction,Medium,19701386,Progressive Party of 32 c Piscium
HIP 96834,Independent,Corporate,Industrial,Military,Low,3006538,HIP 96834 Public Interstellar
Dieslic,Independent,Dictatorship,Refinery,Extraction,Medium,94710,Wings Of Justice
Moortic,Independent,Democracy,Refinery,Extraction,Medium,296749,The Fireflies
HIP 87678,Independent,Patronage,Colony,None,Low,114472,Rogue Merchanteers
HIP 76911,Federation,Confederacy,Industrial,Agriculture,Low,1771738,Partnership of HIP 76911
HIP 81223,Independent,Anarchy,Refinery,Refinery,Anarchy,359,Malae Partnership
