HIP 112535,HIP 112535,M (Red dwarf) Star,true,M9
Dironii,Dironii A,K (Yellow-Orange) Star,true,K4
Dironii,Dironii B,M (Red dwarf) Star,false,M6
Dironii,Dironii C,M (Red dwarf) Star,false,M3
HIP 116663,HIP 116663,G (White-Yellow) Star,true,G3
Narasa,Narasa,M (Red dwarf) Star,true,M2
Paray,Paray,K (Yellow-Orange) Star,true,K4
Kondriates,Kondriates A,M (Red dwarf) Star,true,M4
Kondriates,Kondriates B,M (Red dwarf) Star,false,M9
Kondriates,Kondriates C,T (Brown dwarf) Star,false,T4
Bwenapok,Bwenapok A,M (Red dwarf) Star,true,M3
Bwenapok,Bwenapok B,M (Red dwarf) Star,false,M4
Bwenapok,Bwenapok C,M (Red dwarf) Star,false,M8
Piara,Piara,M (Red dwarf) Star,true,M2
Misarret,Misarret,K (Yellow-Orange) Star,true,K4
Jupaga,Jupaga,L (Brown dwarf) Star,true,L9
24 Canum Venaticorum,24 Canum Venaticorum,A (Blue-White) Star,true,A0
Kamur,Kamur A,K (Yellow-Orange) Star,true,K6
Kamur,Kamur B,M (Red dwarf) Star,false,M9
Trones,Trones A,M (Red dwarf) Star,true,M4
Trones,Trones B,T (Brown dwarf) Star,false,T5
Trones,Trones C,M (Red dwarf) Star,false,M9
Trones,Trones D,L (Brown dwarf) Star,false,L0
Trones,Trones E,L (Brown dwarf) Star,false,L7
Trones,Trones F,L (Brown dwarf) Star,false,L6
Hyades Sector EB-X d1-54,Hyades Sector EB-X d1-54,G (White-Yellow) Star,true,G4
Wardh,Wardh A,K (Yellow-Orange) Star,true,K7
Wardh,Wardh B,L (Brown dwarf) Star,false,L0
Wardh,Wardh C,T (Brown dwarf) Star,false,T4
HIP 20869,HIP 20869 A,F (White) Star,true,F2
HIP 20869,HIP 20869 B,K (Yellow-Orange) Star,false,K8
HIP 20869,HIP 20869 C,M (Red dwarf) Star,false,M0
Guugupala,Guugupala,K (Yellow-Orange) Star,true,K2
Manchi,Manchi A,K (Yellow-Orange) Star,true,K7
Manchi,Manchi B,L (Brown dwarf) Star,false,L4
Hydrae Sector KC-V c2-19,Hydrae Sector KC-V c2-19,K (Yellow-Orange) Star,true,K2
Amahutii,Amahutii A,T Tauri Star,true,TTS4
Amahutii,Amahutii B,T Tauri Star,false,TTS8
Amahutii,Amahutii C,T Tauri Star,false,TTS4
Aguaroing,Aguaroing,L (Brown dwarf) Star,true,L0
Aburokul,Aburokul,K (Yellow-Orange) Star,true,K7
HIP 48504,HIP 48504 A,K (Yellow-Orange) Star,true,K4
HIP 48504,HIP 48504 B,M (Red dwarf) Star,false,M7
Thosangalis,Thosangalis A,K (Yellow-Orange) Star,true,K7
Thosangalis,Thosangalis B,L (Brown dwarf) Star,false,L0
Thosangalis,Thosangalis C,M (Red dwarf) Star,false,M8
Antliae Sector CL-Y d90,Antliae Sector CL-Y d90 A,G (White-Yellow) Star,true,G0
Antliae Sector CL-Y d90,Antliae Sector CL-Y d90 B,K (Yellow-Orange) Star,false,K9
HIP 113402,HIP 113402 A,F (White) Star,true,F2
