4 Sextantis,Federation,Corporate,null,Low,14455,4 Sextantis Inc
HIP 112535,Independent,Confederacy,Industrial,Low,3757193,Movement for HIP 112535 Confederacy
Dironii,Empire,Corporate,Refinery,Medium,145630,Ek Ziyi Allied Solutions
HIP 116663,Independent,Democracy,Extraction,Low,3686,The Independent Anti-Xeno Defence Force
Narasa,Independent,Communism,High Tech,Medium,77815,Union Party of Bungk
Paray,Federation,Democracy,Extraction,Low,29235,Federal Expansion Corps
Kondriates,Independent,Democracy,Colony,Low,29921,Galactic Research Investigation Division
Bwenapok,Empire,Corporate,Military,Low,53468,Bwenapok Organisation
Piara,Independent,Cooperative,High Tech,Low,36163,Ordo Corona Stellarum
Misarret,Alliance,Corporate,Colony,Medium,187234,Sap Core Legion
Jupaga,Empire,Patronage,Military,Low,2058,Onuros Empire Party
24 Canum Venaticorum,Federation,Confederacy,Refinery,Low,129101,24 Canum Venaticorum Alliance
Kamur,Independent,Corporate,Colony,Low,38505,Palluvumbo Creative Incorporated
Trones,Federation,Democracy,Extraction,Low,1288,Dark Enterprise
Hyades Sector EB-X d1-54,Independent,Corporate,Colony,Medium,183578,Indigo Technologies
Wardh,Empire,Corporate,Refinery,Medium,61868,Almasci Commodities
HIP 20869,Empire,Dictatorship,Industrial,High,3360437,New HIP 20869 Defence Force
Guugupala,Independent,Corporate,Agriculture,Low,40115,MegaBayt Inc.
Manchi,Independent,Corporate,Extraction,Low,29268,MegaBayt Inc.
Hydrae Sector KC-V c2-19,Independent,Corporate,Colony,Low,249977,Pilots Trade Network
Amahutii,Independent,Confederacy,Extraction,Low,2394,Mortis Incorporated
Aguaroing,Independent,Communism,Extraction,Low,1781,Union of Laguvii
Aburokul,Independent,Corporate,Industrial,Low,1895578,Interstellar Incorporated
HIP 48504,Independent,Feudal,Extraction,Medium,56079,HIP 48504 Noblement
Thosangalis,Independent,Communism,High Tech,Low,12387,HIP 103361 Worker's Party
Antliae Sector CL-Y d90,Independent,Communism,Refinery,Low,350,Workers of Moan Republic Party
HIP 113402,Independent,Communism,Refinery,Medium,252131,Left Party of HIP 113402
Seurboda,Independent,Communism,Extraction,Low,7121,Off World Collective
Jambo Dadi,Independent,Corporate,Terraforming,Low,233050,Upaniklis Vision Incorporated
Xib Cakurbi,Independent,Cooperative,Extraction,Low,29789,Concern Matrosskaya Tishina
Segnen,Independent,Cooperative,Extraction,Low,23986,Concern Matrosskaya Tishina
Hyades Sector JM-V c2-5,Independent,Confederacy,Colony,Low,442300,Brazilian League of Pilots
HIP 65780,Independent,Corporate,Colony,Low,885,HIP 67470 Ltd
HIP 105431,Federation,Democracy,Industrial,Medium,29408539,Workers of HIP 105431 Revolutionary Party
HIP 64443,Independent,Corporate,Colony,Low,42130,Pilots Trade Network
Atron,Independent,Corporate,Extraction,Low,15675,Congressus Tenebris
Konohavas,Independent,Cooperative,Agriculture,Medium,38856,Cameron's Combat Services
HIP 111285,Independent,Corporate,Extraction,Low,127765,Aces Wild Aerospace Corporation
Huai Na,Empire,Corporate,Terraforming,Medium,253822,Radiant Incorporated
HIP 114188,Empire,Patronage,Extraction,Medium,151647,HIP 114188 Empire League
Bletones,Empire,Corporate,Colony,Low,21032,HIP 90753 Purple Comms Co
HIP 52545,Federation,Democracy,Terraforming,Medium,145295,Revolutionary Party of HIP 52545
Prahlada,Independent,Communism,Extraction,Low,8227,New Bratauolung Republic Party
HIP 68085,Alliance,Democracy,Extraction,Medium,52007,Pork Chop Platoon
HIP 94926,Independent,Feudal,Industrial,Low,4260364,The Dukes of Mikunn
Yeninuri,Independent,Corporate,Military,Medium,382506,Bastogne Private Security Firm
HIP 76189,Independent,Anarchy,Refinery,Anarchy,38425,The Stellar Remnants
Moan,Independent,Communism,Industrial,Low,3495445,Workers of Moan Republic Party
Tukuluma,Independent,Corporate,Colony,Low,17475,Tukuluma Electronics Systems
Rio Paha,Empire,Corporate,Agriculture,Low,11028,Rio Paha State Group
HIP 102962,Empire,Dictatorship,Extraction,Medium,97666,Defence Force of HIP 102962
Col 285 Sector HD-I c10-6,Independent,Confederacy,Colony,Medium,625337,Formidine Greybeard Guild
Uellaturt,Independent,Theocracy,Extraction,Low,17633,Sacra Oculus
Col 285 Sector XF-E c12-12,Independent,Communism,Colony,Low,23731846,United Fintamkina Left Party
HIP 118045,Empire,Prison colony,Extraction,Medium,51480,Moritasgus Imperial Corporation
Chaitany,Independent,Democracy,Terraforming,Medium,254934,Tom Paine's Crew
Theta Phoenicis,Independent,Cooperative,Extraction,Low,67360,Cameron's Combat Services
HIP 116263,Independent,Communism,Extraction,Medium,187567,Off World Collective
Kalkinja,Independent,Confederacy,Extraction,Low,66077,United Adnyayar League
Lesovices,Independent,Corporate,Colony,Medium,150412,Congressus Tenebris
HIP 58924,Independent,Dictatorship,Industrial,High,15053456,United HIP 58924 Defence Party
HIP 82460,Independent,Cooperative,Colony,Low,48897,Division Cassini
Karnir,Federation,Corporate,Extraction,Low,7242,Retro Faction Of Voltrigones
Chao Gu,Independent,Dictatorship,Industrial,Low,3732828,The Mercs of Mikunn
Tai Szu,Independent,Feudal,Colony,Medium,426915,The Kuun-Lan
HR 8250,Independent,Anarchy,Extraction,Anarchy,38462,HR 8250 Camorra
Daibais,Empire,Dictatorship,Extraction,Medium,8574583,Imperial Corsairs
HIP 42174,Independent,Corporate,Extraction,Low,2656,Congressus Tenebris
Loptaroju,Independent,Theocracy,Industrial,Low,3639533,Circle of TabEwon
Lafquene,Independent,Corporate,Refinery,Low,65397,Night Wolves Corporation
Pyemsitoq,Independent,Democracy,Military,Low,21130,The Crimson Syndicate Party
Ghary,Independent,Corporate,Extraction,Low,67815,10 Hydrae Comms Services
